geometry,address
POINT (35.826069 47.443081),"Роботине, 71720, Запорізька область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (37.775799 49.838791),"Тавільжанка, Харківська область, Україна"
POINT (38.2178525 49.0463189),"Кремінна, Луганська область, Україна"
POINT (37.72782 48.06347),"Веселе, 86083, Донецька область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (38.43103 48.21127),"Весела Долина, 86431, Ольховатська селищна рада, Донецька область, Україна"
POINT (37.04006 47.73182),"Новомайорське, 85561, Донецька область, Україна"
POINT (38.0884035 48.4043865),"Гольмівський, 84691, Донецька область, Україна"
POINT (35.438026 47.921528),"Вишневе, 70005, Павлівська сільська громада, Запорізька область, Україна"
POINT (38.0027664 48.3058686),"Горлівка, 84646, Горлівська міська рада, Донецька область, Україна"
POINT (34.6217 47.61509),"Мар’ївка, 53492, Дніпропетровська область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (37.7192788 48.0965542),"Опитне, 86081, Донецька область, Україна"
POINT (33.29887 46.720051),"Райське, 74991, Херсонська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7062717 49.7908984),"Лиман Перший, Харківська область, Україна"
POINT (33.738331 48.562321),"Запоріжжя, 52141, П'ятихатська міська громада, Дніпропетровська область, Україна"
POINT (143.8358831 -37.5986771),"Sebastopol, 3356, Ballarat, Victoria, Australia"
POINT (37.577636946667766 47.673127),"Новотроїцьке, 85764, Ольгинська селищна громада, Донецька область, Україна"
POINT (116.5892739 59.2848576),"Патомский кратер, Жуинское сельское поселение, Иркутская область, Россия"
POINT (37.919998 49.5744329),"Крохмальне, Харківська область, Україна"
POINT (35.831909 47.420078),"Новопрокопівка, 71721, Запорізька область, Україна"
POINT (37.9568757 48.4683008),"Курдюмівка, 85285, Донецька область, Україна"
POINT (39.070389 48.823685),"Райгородка, 93543, Луганська область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (37.3928536 50.1272527),"Миколаївка, Харківська область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (37.5815729 47.7676968),"Березове, 85682, Донецька область, Україна"
POINT (37.5805371 47.8033221),"Тарамчук, 85665, Донецька область, Україна"
POINT (37.705761 49.76292),"Синьківка, Харківська область, Україна"
POINT (37.405817 47.7266739),"Володимирівка, 85721-85723, Донецька область, Україна"
POINT (37.7809825 47.9212914),"Донецька область, 83000-87999, Україна"
POINT (33.6050132 44.9713752),"Севастопольская улица, 97546, Николаевка, Автономна Республіка Крим, Україна"
POINT (37.95828 48.5279),"Кліщіївка, 84557, Донецька область, Україна"
POINT (35.663342 47.3727),"Чистопілля, 71725, Запорізька область, Україна"
POINT (35.831909 47.420078),"Новопрокопівка, 71721, Запорізька область, Україна"
POINT (37.22494 47.70693),"Єгорівка, 85700, Донецька область, Україна"
POINT (37.9561085 49.0234501),"Торське, 84444, Донецька область, Україна"
POINT (34.360077 45.6987339),"Садовая улица, 96118, Дмитриевка, Республика Крым, Україна"
POINT (37.2034069 48.3536652),"Родинське, 85310-87315, Донецька область, Україна"
POINT (35.319328 48.064499),"Вербове, 70016, Запорізька область, Україна"
POINT (39.7296737 48.2951425),"Краснодон, 94401-94408, Луганська область, Україна"
POINT (39.7296737 48.2951425),"Краснодон, 94401-94408, Луганська область, Україна"
POINT (32.8459701 47.7561122),"Миколаївка, 56009, Миколаївська область, Україна"
POINT (37.6141992 49.7132963),"Куп’янськ, Харківська область, Україна"
POINT (33.3566678 46.7583404),"Нова Каховка, Херсонська область, Україна"
POINT (38.4262531 48.2699914),"Іллінка, 86491, Ольховатська селищна рада, Донецька область, Україна"
POINT (37.6141992 49.7132963),"Куп’янськ, Харківська область, Україна"
POINT (32.6141931 46.6748559),"вулиця 49-ї Гвардійської Херсонської дивізії, 73039, Херсон, Херсонська область, Україна"
POINT (37.684479 49.52705),"Сенькове, Харківська область, Україна"
POINT (37.858891 49.313511),"Чернещина, 63842, Харківська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (38.152977 49.131493),"Червонопопівка, 92924, Луганська область, Україна"
POINT (33.5380219 46.3617756),"Чаплинка, 75200, Херсонська область, Україна"
POINT (38.516096 48.5651752),"Калинове, 93350, Луганська область, Україна"
POINT (33.2632062 46.7491957),"Дніпряни, 74987, Херсонська область, Україна"
POINT (35.490299 47.115551),"Старобогданівка, 72044, Запорізька область, Україна"
POINT (37.6923705 48.534859),"Костянтинівка, 85100-85129, Донецька область, Україна"
POINT (37.6044657 48.5785754),"Олексієво-Дружківка, 84293-84294, Донецька область, Україна"
GEOMETRYCOLLECTION EMPTY,
POINT (37.85545 49.40517),"Вишневе, Харківська область, Україна"
POINT (35.734058 47.46471),"Копані, 70562, Запорізька область, Україна"
POINT (30.7322878 46.4843023),"Одеса, Одеська область, Україна"
POINT (36.8256785 47.697415),"Старомлинівка, 85552, Донецька область, Україна"
POINT (37.95261 49.413071),"Джерельне, 92622, Луганська область, Україна"
POINT (37.5837615 50.7080119),"Белгородская область, Россия"
POINT (39.4956573 48.6429638),"Станиця Луганська, Луганська область, Україна"
POINT (38.02643 48.40087),"Зайцеве, 84692, Донецька область, Україна"
POINT (37.3026263 47.7503068),"Микільське, 85720, Донецька область, Україна"
POINT (37.4814121 47.1651269),"Зал царства Свідків Єгови, Гранітна вулиця, 87591, Гранітна вулиця, Маріупольська міська громада, Донецька область, Україна"
POINT (38.0020994 48.5894123),"Бахмут, 84500-84510, Донецька область, Україна"
POINT (38.02643 48.40087),"Зайцеве, 84692, Донецька область, Україна"
POINT (35.8499861 50.446504),"Горьковский, Белгородская область, Россия"
POINT (37.4863822 47.8552316),"Новомихайлівка, 85654, Донецька область, Україна"
POINT (36.915089 50.18692),"Шестерівка, Харківська область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (35.1182867 47.8507859),"Запоріжжя, 69000-69499, Запорізька область, Україна"
POINT (37.5815729 47.7676968),"Березове, 85682, Донецька область, Україна"
POINT (35.831909 47.420078),"Новопрокопівка, 71721, Запорізька область, Україна"
POINT (37.7062717 49.7908984),"Лиман Перший, Харківська область, Україна"
POINT (37.7466719 48.1338824),"Авдіївка, 86060-86075, Донецька область, Україна"
POINT (37.4922207 47.7895397),"Солодке, 85683, Донецька область, Україна"
POINT (37.2790838 48.5098678),"Кучерів Яр, 85018, Донецька область, Україна"
POINT (39.4956573 48.6429638),"Станиця Луганська, Луганська область, Україна"
POINT (37.22494 47.70693),"Єгорівка, 85700, Донецька область, Україна"
POINT (32.833157 46.63084),"Пойма, 75112, Херсонська область, Україна"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (36.7644737 47.6507198),"Орлинське, 85552, Донецька область, Україна"
POINT (-40.30167213736631 -20.29303775),"Emescam - Scientific Writing Office (SWO), Avenida Nossa Senhora da Penha, 29045-415, Avenida Nossa Senhora da Penha, Vitória, Espírito Santo, Brasil"
GEOMETRYCOLLECTION EMPTY,
